Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_003584685.1	ASM358468v1	Lactobacillus paragasseri	2107999		JCM 5343					GCF_003584685.1-RS_2025_03_31	1	1	Complete Genome	21.06.2018		1
GCF_001700985.1	ASM170098v1	Parageobacillus thermoglucosidasius	1426		Wild Type					GCF_001700985.1-RS_2025_05_13	3	3	Complete Genome	09.08.2016		3
GCF_000196795.1	ASM19679v1	Acinetobacter oleivorans DR1	436717		DR1					GCF_000196795.1-RS_2024_11_19	1	1	Complete Genome	21.06.2010		1
GCF_000007205.1	ASM720v1	Chlamydia pneumoniae TW-183	182082		TW-183					GCF_000007205.1-RS_2025_03_28	1	1	Complete Genome	25.07.2003		1
GCF_002812485.1	ASM281248v1	Dickeya fangzhongdai	1778540		DSM 101947					GCF_002812485.1-RS_2025_04_22	2	2	Complete Genome	06.12.2017		2
GCF_001040945.1	ASM104094v1	Herbaspirillum seropedicae	964		Z67					GCF_001040945.1-RS_2025_03_28	1	1	Complete Genome	26.06.2015		1
GCF_016725005.1	ASM1672500v1	Streptococcus constellatus	76860		FDAARGOS_1156					GCF_016725005.1-RS_2024_12_11	1	1	Complete Genome	20.01.2021		1
GCF_000020025.1	ASM2002v1	Nostoc punctiforme PCC 73102	63737		ATCC 29133; PCC 73102					GCF_000020025.1-RS_2025_03_15	6	6	Complete Genome	24.04.2008		6
GCF_000196875.2	ASM19687v2	Halomonas elongata DSM 2581	768066		type strain: DSM 2581					GCF_000196875.2-RS_2024_11_21	1	1	Complete Genome	31.01.2017		1
GCF_000019725.1	ASM1972v1	Methylobacterium radiotolerans JCM 2831	426355		JCM 2831					GCF_000019725.1-RS_2025_03_05	9	9	Complete Genome	21.03.2008		9
GCF_000164675.2	ASM16467v2	Streptococcus parasanguinis ATCC 15912	760570		ATCC 15912					GCF_000164675.2-RS_2024_12_22	1	1	Complete Genome	10.06.2011		1
GCF_000008205.1	ASM820v1	Mesomycoplasma hyopneumoniae J	262719		J					GCF_000008205.1-RS_2024_12_13	1	1	Complete Genome	07.08.2005		1
GCF_000961515.1	ASM96151v1	Paraburkholderia fungorum	134537		ATCC BAA-463					GCF_000961515.1-RS_2025_04_07	4	4	Complete Genome	24.03.2015		4
GCF_900636575.1	42912_C01	Streptococcus canis	1329		NCTC12191					GCF_900636575.1-RS_2024_12_13	1	1	Complete Genome	20.12.2018		1
GCF_001610955.1	ASM161095v1	Geobacillus thermoleovorans	33941		KCTC 3570					GCF_001610955.1-RS_2024_11_18	2	2	Complete Genome	05.04.2016		2
GCF_016028795.1	ASM1602879v1	Macrococcoides caseolyticum	69966		FDAARGOS_868					GCF_016028795.1-RS_2024_12_11	2	2	Complete Genome	14.12.2020		2
GCF_016127215.1	ASM1612721v1	Haemophilus parainfluenzae	729		FDAARGOS_1000					GCF_016127215.1-RS_2024_12_13	1	1	Complete Genome	20.12.2020		1
GCF_900186885.1	48903_D01	Veillonella parvula	29466		NCTC11810					GCF_900186885.1-RS_2024_12_16	1	1	Complete Genome	15.08.2017		1
GCF_900476065.1	50465_F02	Mesomycoplasma hyorhinis	2100		NCTC10130					GCF_900476065.1-RS_2025_03_21	1	1	Complete Genome	19.08.2018		1
GCF_000007085.1	ASM708v1	Caldanaerobacter subterraneus subsp. tengcongensis MB4	273068		MB4					GCF_000007085.1-RS_2024_12_09	1	1	Complete Genome	16.05.2002		1
GCF_001484725.1	ASM148472v1	Clostridium autoethanogenum DSM 10061	1341692		DSM 10061					GCF_001484725.1-RS_2025_03_28	1	1	Complete Genome	04.01.2016		1
GCF_000055785.1	ASM5578v1	Chromohalobacter israelensis DSM 3043	290398		DSM 3043					GCF_000055785.1-RS_2024_08_18	1	1	Complete Genome	11.04.2006		1
GCF_000763515.1	ASM76351v1	Listeria ivanovii subsp. ivanovii	202751		WSLC 3010					GCF_000763515.1-RS_2024_12_09	1	1	Complete Genome	06.10.2014		1
GCF_022179545.1	ASM2217954v1	Mycolicibacterium fortuitum subsp. fortuitum	144549		JCM 6387					GCF_022179545.1-RS_2025_05_11	1	1	Complete Genome	27.01.2022		1
GCF_001644705.1	ASM164470v1	Dickeya solani IPO 2222	1225786		IPO 2222					GCF_001644705.1-RS_2025_03_05	1	1	Complete Genome	16.05.2016		1
GCF_009662475.1	ASM966247v1	Acidithiobacillus thiooxidans ATCC 19377	637390		ATCC 19377					GCF_009662475.1-RS_2025_04_27	1	1	Complete Genome	14.11.2019		1
GCF_000187935.1	ASM18793v2	Streptococcus parauberis NCFD 2020	873447		NCFD 2020					GCF_000187935.1-RS_2024_07_24	1	1	Complete Genome	25.03.2011	AEUT02	1
GCF_001953955.1	ASM195395v1	Prevotella intermedia ATCC 25611 = DSM 20706	1122984		ATCC 25611					GCF_001953955.1-RS_2025_01_08	2	2	Complete Genome	18.01.2017		2
GCF_016026735.1	ASM1602673v1	Serratia rubidaea	61652		FDAARGOS_926					GCF_016026735.1-RS_2024_12_11	1	1	Complete Genome	14.12.2020		1
GCF_900474605.1	41594_C01	Enterococcus cecorum	44008		NCTC12421					GCF_900474605.1-RS_2024_12_09	1	1	Complete Genome	18.06.2018		1
GCF_001298465.1	ASM129846v1	Campylobacter concisus	199		ATCC 33237					GCF_001298465.1-RS_2025_03_03	1	1	Complete Genome	24.09.2015		1
GCF_001742145.1	ASM174214v1	Pectobacterium parmentieri	1905730		RNS 08-42-1A					GCF_001742145.1-RS_2025_03_05	1	1	Complete Genome	22.09.2016		1
GCF_010508875.1	ASM1050887v1	Flavonifractor plautii	292800		JCM 32125					GCF_010508875.1-RS_2025_04_02	1	1	Complete Genome	13.02.2020		1
GCF_000821185.2	ASM82118v2	Serratia symbiotica	138074		CWBI-2.3					GCF_000821185.2-RS_2025_03_15	3	3	Complete Genome	14.07.2020		3
GCF_002706745.1	ASM270674v1	Companilactobacillus farciminis KCTC 3681 = DSM 20184	936140		DSM 20184					GCF_002706745.1-RS_2025_03_05	1	1	Complete Genome	25.10.2017		1
GCF_002706665.1	ASM270666v1	Bifidobacterium pseudolongum subsp. globosum DSM 20092	1410605		DSM 20092					GCF_002706665.1-RS_2025_03_05	1	1	Complete Genome	25.10.2017		1
GCF_000018785.1	ASM1878v1	Acholeplasma laidlawii PG-8A	441768		PG-8A					GCF_000018785.1-RS_2025_03_27	1	1	Complete Genome	07.12.2007		1
GCF_000007025.1	ASM702v1	Rickettsia conorii str. Malish 7	272944		Malish 7					GCF_000007025.1-RS_2025_01_08	1	1	Complete Genome	03.10.2001		1
GCF_008704425.1	ASM870442v1	Streptomyces fradiae ATCC 10745 = DSM 40063	1319510		ATCC 10745					GCF_008704425.1-RS_2024_11_06	1	1	Complete Genome	26.09.2019		1
GCF_000010265.1	ASM1026v1	Clostridium kluyveri NBRC 12016	583346		NBRC 12016					GCF_000010265.1-RS_2025_04_10	2	2	Complete Genome	09.01.2009		2
GCF_000959445.1	ASM95944v1	Burkholderia vietnamiensis LMG 10929	1449978		LMG 10929					GCF_000959445.1-RS_2025_04_07	4	4	Complete Genome	20.03.2015		4
GCF_000019345.1	ASM1934v1	Ureaplasma parvum serovar 3 str. ATCC 27815	505682		ATCC 27815					GCF_000019345.1-RS_2024_12_13	1	1	Complete Genome	26.02.2008		1
GCF_016028515.1	ASM1602851v1	Stutzerimonas frequens	2968969		FDAARGOS_877					GCF_016028515.1-RS_2024_08_13	1	1	Complete Genome	14.12.2020		1
GCF_021654455.1	ASM2165445v1	Streptococcus parasuis	1501662		SUT-286					GCF_021654455.1-RS_2025_03_13	1	1	Complete Genome	28.12.2021		1
GCF_014779555.2	ASM1477955v2	Lysobacter capsici	435897		VKM B-2533					GCF_014779555.2-RS_2025_05_05	1	1	Complete Genome	14.04.2022		1
GCF_012317185.1	ASM1231718v1	[Clostridium] innocuum	1522		ATCC 14501					GCF_012317185.1-RS_2025_02_23	1	1	Complete Genome	15.04.2020		1
GCF_016127195.1	ASM1612719v1	Aeromonas jandaei	650		FDAARGOS_986					GCF_016127195.1-RS_2024_12_13	1	1	Complete Genome	20.12.2020		1
GCF_008801925.2	ASM880192v2	Cupriavidus basilensis	68895		DSM 11853					GCF_008801925.2-RS_2025_02_23	8	8	Complete Genome	29.10.2020		8
GCF_000230655.2	ASM23065v3	Thermotoga maritima MSB8	243274		MSB8					GCF_000230655.2-RS_2024_12_09	1	1	Complete Genome	20.12.2013		1
GCF_000092045.1	ASM9204v1	Rhizobium etli CFN 42	347834		CFN 42					GCF_000092045.1-RS_2024_11_27	7	7	Complete Genome	06.03.2006		7
GCF_000016645.1	ASM1664v1	Flavobacterium johnsoniae UW101	376686		UW101; ATCC 17061					GCF_000016645.1-RS_2024_12_11	1	1	Complete Genome	01.05.2007		1
GCF_000026105.1	ASM2610v1	Pseudomonas entomophila L48	384676		L48					GCF_000026105.1-RS_2025_03_28	1	1	Complete Genome	10.05.2006		1
GCF_000179635.2	ASM17963v2	Ruminococcus albus 7 = DSM 20455	697329		7					GCF_000179635.2-RS_2025_03_12	5	5	Complete Genome	23.12.2010		5
GCF_000021925.1	ASM2192v1	Desulfitobacterium hafniense DCB-2	272564		DCB-2					GCF_000021925.1-RS_2025_03_27	1	1	Complete Genome	05.01.2009		1
GCF_004295125.1	ASM429512v1	[Clostridium] scindens ATCC 35704	411468		ATCC 35704					GCF_004295125.1-RS_2024_12_13	1	1	Complete Genome	25.02.2019		1
GCF_000959545.1	ASM95954v1	Burkholderia ambifaria AMMD	339670		AMMD					GCF_000959545.1-RS_2025_04_07	4	4	Complete Genome	20.03.2015		4
GCF_001042595.1	ASM104259v1	Bifidobacterium dentium JCM 1195 = DSM 20436	1150423		JCM 1195					GCF_001042595.1-RS_2024_12_16	1	1	Complete Genome	17.02.2015		1
GCF_003010495.1	ASM301049v1	Megasphaera elsdenii DSM 20460	1064535		ATCC 25940					GCF_003010495.1-RS_2024_12_22	1	1	Complete Genome	19.03.2018		1
GCF_000300455.3	ASM30045v4	Kosakonia sacchari SP1	1235834		SP1					GCF_000300455.3-RS_2024_12_09	1	1	Complete Genome	11.07.2016		1
GCF_000252995.1	ASM25299v1	Salmonella bongori NCTC 12419	218493		NCTC 12419					GCF_000252995.1-RS_2024_12_09	1	1	Complete Genome	06.07.2011		1
GCF_001277215.2	ASM127721v2	Cronobacter malonaticus LMG 23826	1159491		LMG 23826					GCF_001277215.2-RS_2025_04_03	3	3	Complete Genome	13.01.2016		3
GCF_000145615.1	ASM14561v1	Thermoanaerobacterium thermosaccharolyticum DSM 571	580327		DSM 571					GCF_000145615.1-RS_2025_04_07	1	1	Complete Genome	13.08.2010		1
GCF_000023145.1	ASM2314v1	Corynebacterium kroppenstedtii DSM 44385	645127		DSM 44385					GCF_000023145.1-RS_2024_08_12	1	1	Complete Genome	19.05.2009		1
GCF_000265465.1	ASM26546v1	Ornithobacterium rhinotracheale DSM 15997	867902		DSM 15997					GCF_000265465.1-RS_2024_12_22	1	1	Complete Genome	11.06.2012		1
GCF_040267515.1	UMSP_Dlac_medaka1	Delftia lacustris	558537		DSM 21246					GCF_040267515.1-RS_2024_11_20	2	2	Complete Genome	23.06.2024		2
GCF_900637265.1	50432_C01	Achromobacter insolitus	217204		NCTC13520					GCF_900637265.1-RS_2024_12_13	1	1	Complete Genome	20.12.2018		1
GCF_000807675.2	ASM80767v2	Eubacterium limosum	1736		ATCC 8486					GCF_000807675.2-RS_2025_04_12	1	1	Complete Genome	03.04.2017		1
GCF_031348265.1	ASM3134826v1	Streptomyces collinus	42684		CGMCC 4.1623					GCF_031348265.1-RS_2024_09_11	1	1	Complete Genome	12.09.2023		1
GCF_000284295.1	ASM28429v1	Actinoplanes missouriensis 431	512565		431					GCF_000284295.1-RS_2024_12_11	1	1	Complete Genome	28.03.2012		1
GCF_013267395.1	ASM1326739v1	Achromobacter denitrificans	32002		FDAARGOS_786					GCF_013267395.1-RS_2024_07_20	1	1	Complete Genome	04.06.2020		1
GCF_040529065.1	ASM4052906v1	Xanthomonas sacchari	56458		CFBP4641					GCF_040529065.1-RS_2024_07_06	1	1	Complete Genome	07.07.2024		1
GCF_019047465.1	ASM1904746v1	Lelliottia amnigena	61646		FDAARGOS 1444					GCF_019047465.1-RS_2024_07_20	1	1	Complete Genome	28.06.2021		1
GCF_016027095.1	ASM1602709v1	Sphingomonas paucimobilis	13689		FDAARGOS_908					GCF_016027095.1-RS_2024_12_11	4	4	Complete Genome	14.12.2020		4
GCF_015074805.1	ASM1507480v1	Sphingobium fuliginis	336203		KK22					GCF_015074805.1-RS_2025_03_29	4	4	Complete Genome	29.10.2020		4
GCF_016028855.1	ASM1602885v1	Rothia kristinae	37923		FDAARGOS_864					GCF_016028855.1-RS_2024_12_11	1	1	Complete Genome	14.12.2020		1
GCF_016026595.1	ASM1602659v1	Brevibacterium casei	33889		FDAARGOS_936					GCF_016026595.1-RS_2025_02_14	1	1	Complete Genome	14.12.2020		1
GCF_001698225.1	ASM169822v1	Gordonia terrae	2055		3612					GCF_001698225.1-RS_2025_03_29	1	1	Complete Genome	02.08.2016		1
GCF_900637615.1	52191_A01	Bordetella hinzii	103855		NCTC13199					GCF_900637615.1-RS_2024_12_13	1	1	Complete Genome	20.12.2018		1
GCF_025149285.1	ASM2514928v1	Hungatella hathewayi	154046		DSM 13479					GCF_025149285.1-RS_2024_06_17	1	1	Complete Genome	12.09.2022		1
GCF_000018145.1	ASM1814v1	Dinoroseobacter shibae DFL 12 = DSM 16493	398580		DFL 12					GCF_000018145.1-RS_2025_05_01	6	6	Complete Genome	05.10.2007		6
GCF_020735985.1	ASM2073598v1	Bordetella holmesii	35814		FDAARGOS_1539					GCF_020735985.1-RS_2024_12_09	1	1	Complete Genome	03.11.2021		1
GCF_000008185.1	ASM818v1	Treponema denticola ATCC 35405	243275		ATCC 35405					GCF_000008185.1-RS_2025_05_01	1	1	Complete Genome	10.02.2004		1
GCF_900475905.1	49595_E01	Kingella kingae	504		NCTC10529					GCF_900475905.1-RS_2024_12_11	1	1	Complete Genome	17.06.2018		1
GCF_040556925.1	ASM4055692v1	Mycoplasmoides genitalium	2097		G37					GCF_040556925.1-RS_2025_03_31	1	1	Complete Genome	10.07.2024		1
GCF_000220945.1	ASM22094v1	Amycolatopsis mediterranei S699	713604		S699					GCF_000220945.1-RS_2025_03_27	1	1	Complete Genome	19.07.2011		1
GCF_001856645.1	ASM185664v1	Clostridium pasteurianum DSM 525 = ATCC 6013	1262449		ATCC 6013					GCF_001856645.1-RS_2025_03_05	1	1	Complete Genome	31.10.2016		1
GCF_000013085.1	ASM1308v1	Rhodospirillum rubrum ATCC 11170	269796		ATCC 11170					GCF_000013085.1-RS_2025_03_28	2	2	Complete Genome	13.12.2005		2
GCF_000330885.1	ASM33088v1	Rhizobium tropici CIAT 899	698761		CIAT 899					GCF_000330885.1-RS_2025_04_23	4	4	Complete Genome	03.01.2013		4
GCF_000006685.1	ASM668v1	Chlamydia muridarum str. Nigg	243161		Nigg					GCF_000006685.1-RS_2025_03_27	2	2	Complete Genome	28.03.2003		2
GCF_000818015.1	ASM81801v1	Stutzerimonas balearica DSM 6083	1123016		DSM6083 (=SP1402)					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1	1	Complete Genome	14.01.2015		1
GCF_003660105.1	ASM366010v1	Aliarcobacter cryaerophilus ATCC 43158	1032070		ATCC 43158					GCF_003660105.1-RS_2024_08_19	2	2	Complete Genome	16.10.2018		2
GCF_000331185.2	ASM33118v2	Streptomyces rimosus subsp. rimosus ATCC 10970	1265868		ATCC 10970					GCF_000331185.2-RS_2025_04_16	2	2	Complete Genome	19.03.2021		2
GCF_900537995.1	Roseburia intestinalis strain L1-82	Roseburia intestinalis L1-82	536231		L1-82					GCF_900537995.1-RS_2024_12_13	1	1	Complete Genome	27.02.2019		1
GCF_000313175.2	ASM31317v2	Leptospira santarosai serovar Shermani str. LT 821	758847		LT 821					GCF_000313175.2-RS_2025_03_28	2	2	Complete Genome	08.10.2014		2
GCF_008245025.1	ASM824502v1	Campylobacter lari subsp. concheus	488545		LMG 21009					GCF_008245025.1-RS_2025_05_17	1	1	Complete Genome	03.09.2019		1
GCF_025231465.1	ASM2523146v1	Streptomyces murinus	33900		CR-43					GCF_025231465.1-RS_2024_09_28	1	1	Complete Genome	16.09.2022		1
GCF_021919345.1	ASM2191934v1	Paenarthrobacter nicotinovorans	29320		ATCC 49919					GCF_021919345.1-RS_2024_12_09	2	2	Complete Genome	03.02.2022		2
GCF_001411805.1	ASM141180v1	Burkholderia plantarii	41899		ATCC 43733					GCF_001411805.1-RS_2025_03_28	3	3	Complete Genome	23.10.2015		3
GCF_009362255.1	ASM936225v1	Tenacibaculum mesophilum	104268		DSM 13764					GCF_009362255.1-RS_2024_10_23	1	1	Complete Genome	26.10.2019		1
GCF_001687625.2	ASM168762v2	Planococcus maritimus	192421		DSM 17275					GCF_001687625.2-RS_2025_03_05	1	1	Complete Genome	01.11.2016		1
GCF_000816085.1	ASM81608v1	Staphylococcus hyicus	1284		ATCC 11249					GCF_000816085.1-RS_2024_12_09	1	1	Complete Genome	07.01.2015		1
GCF_900183975.1	PD885.1	Xanthomonas fragariae	48664		PD885					GCF_900183975.1-RS_2025_05_06	3	3	Complete Genome	25.05.2017		3
GCF_040790665.1	ASM4079066v1	Sulfitobacter pontiacus	60137		DSM 10014					GCF_040790665.1-RS_2024_07_22	5	5	Complete Genome	22.07.2024		5
GCF_016889425.1	ASM1688942v1	Corynebacterium amycolatum	43765		FDAARGOS_1189					GCF_016889425.1-RS_2025_03_29	1	1	Complete Genome	15.02.2021		1
GCF_001543205.1	ASM154320v1	Aerococcus urinaeequi	51665		CCUG28094					GCF_001543205.1-RS_2025_03_31	1	1	Complete Genome	01.02.2016		1
GCF_019668505.1	ASM1966850v1	Borrelia miyamotoi	47466		HT31					GCF_019668505.1-RS_2025_03_30	1	1	Complete Genome	26.06.2021		1
GCF_000011965.2	ASM1196v2	Ruegeria pomeroyi DSS-3	246200		DSS-3					GCF_000011965.2-RS_2025_04_07	2	2	Complete Genome	11.12.2013		2
GCF_000146505.1	ASM14650v1	Fibrobacter succinogenes subsp. succinogenes S85	59374		S85					GCF_000146505.1-RS_2025_03_28	1	1	Complete Genome	06.08.2010		1
GCF_008153345.1	ASM815334v1	Treponema phagedenis	162		B43.1					GCF_008153345.1-RS_2025_04_27	1	1	Complete Genome	30.08.2019		1
GCF_006364355.1	ASM636435v1	Vibrio furnissii	29494		FDAARGOS_777					GCF_006364355.1-RS_2025_03_29	3	3	Complete Genome	19.06.2019		3
GCF_002288285.1	ASM228828v1	Sphingobium xenophagum	121428		C1					GCF_002288285.1-RS_2025_03_30	7	7	Complete Genome	08.09.2017		7
GCF_900637905.1	52756_G01	Parvimonas micra	33033		NCTC11808					GCF_900637905.1-RS_2024_08_25	1	1	Complete Genome	20.12.2018		1
GCF_003515105.1	ASM351510v1	Pseudoalteromonas lipolytica	570156		HJ51					GCF_003515105.1-RS_2025_04_22	3	3	Complete Genome	10.09.2018		3
GCF_019930785.1	ASM1993078v1	Burkholderia dolosa	152500		FDAARGOS_1463					GCF_019930785.1-RS_2024_11_06	3	3	Complete Genome	12.09.2021		3
GCF_000012345.1	ASM1234v1	Candidatus Pelagibacter ubique HTCC1062	335992		HTCC1062					GCF_000012345.1-RS_2025_05_18	1	1	Complete Genome	25.07.2005		1
GCF_001025195.1	ASM102519v1	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	566552		JCM 1194					GCF_001025195.1-RS_2024_12_11	1	1	Complete Genome	24.03.2015		1
GCF_002706425.1	ASM270642v1	Loigolactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001	913848		DSM 20001					GCF_002706425.1-RS_2025_04_27	1	1	Complete Genome	25.10.2017		1
GCF_000022325.1	ASM2232v1	Caldicellulosiruptor bescii DSM 6725	521460		DSM 6725					GCF_000022325.1-RS_2024_12_13	3	3	Complete Genome	04.02.2009		3
GCF_000026005.1	ASM2600v1	Ehrlichia ruminantium str. Welgevonden	254945		Welgevonden					GCF_000026005.1-RS_2025_01_08	1	1	Complete Genome	05.01.2005		1
GCF_000019945.1	ASM1994v1	Methylorubrum populi BJ001	441620		BJ001					GCF_000019945.1-RS_2025_03_28	3	3	Complete Genome	09.04.2008		3
GCF_000204645.1	ASM20464v1	Alicycliphilus denitrificans K601	596154		K601					GCF_000204645.1-RS_2025_03_27	2	2	Complete Genome	19.04.2011		2
GCF_000355695.1	ASM35569v1	Clavibacter nebraskensis NCPPB 2581	1097677		type strain: NCPPB 2581					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1	1	Complete Genome	01.04.2013		1
GCF_000027145.1	ASM2714v1	Listeria seeligeri serovar 1/2b str. SLCC3954	683837		SLCC3954					GCF_000027145.1-RS_2024_12_11	1	1	Complete Genome	18.02.2010		1
GCF_900636915.1	45532_F02	Aggregatibacter aphrophilus ATCC 33389	985008		NCTC 5906					GCF_900636915.1-RS_2024_12_11	1	1	Complete Genome	20.12.2018		1
GCF_000063605.1	ASM6360v1	Mycoplasmopsis agalactiae PG2	347257		PG2					GCF_000063605.1-RS_2024_12_13	1	1	Complete Genome	24.05.2007		1
GCF_001685355.1	ASM168535v1	Streptomyces lincolnensis	1915		NRRL 2936					GCF_001685355.1-RS_2025_03_05	1	1	Complete Genome	15.07.2016		1
GCF_048320135.1	ASM4832013v1	Piscinibacter sakaiensis	1547922		201-F6					GCF_048320135.1-RS_2025_03_05	1	1	Complete Genome	06.03.2025		1
GCF_001682385.1	ASM168238v1	Azoarcus olearius	418699		DQS-4					GCF_001682385.1-RS_2025_03_05	1	1	Complete Genome	08.07.2016		1
GCF_016028635.1	ASM1602863v1	Stutzerimonas degradans	2968968		FDAARGOS_876					GCF_016028635.1-RS_2024_08_13	1	1	Complete Genome	14.12.2020		1
GCF_020883495.1	ASM2088349v1	Shinella zoogloeoides	352475		ATCC 19623					GCF_020883495.1-RS_2024_12_09	5	5	Complete Genome	18.11.2021		5
GCF_024347355.1	ASM2434735v1	Vibrio chagasii	170679		LMG 21353					GCF_024347355.1-RS_2024_10_11	5	5	Complete Genome	13.07.2022		5
GCF_003606265.1	ASM360626v1	Clostridium septicum	1504		DSM 7534					GCF_003606265.1-RS_2025_04_13	2	2	Complete Genome	01.10.2018		2
GCF_000953635.1	LMI	Legionella micdadei	451		ATCC 33218					GCF_000953635.1-RS_2024_06_10	1	1	Complete Genome	21.10.2014		1
GCF_001941345.1	ASM194134v1	Corynebacterium stationis	1705		622=DSM 20302					GCF_001941345.1-RS_2025_03_12	2	2	Complete Genome	10.01.2017		2
GCF_001553955.1	ASM155395v1	Moraxella osloensis	34062		CCUG 350					GCF_001553955.1-RS_2025_03_03	5	5	Complete Genome	09.02.2016		5
GCF_008824185.1	ASM882418v1	Paracoccus pantotrophus	82367		DSM 2944					GCF_008824185.1-RS_2024_12_09	4	4	Complete Genome	06.10.2019		4
GCF_900638215.1	56553_A01	Nocardiopsis dassonvillei	2014		NCTC10488					GCF_900638215.1-RS_2024_10_23	1	1	Complete Genome	20.12.2018		1
GCF_037113525.1	AgR_BfibD1_NP	Butyrivibrio fibrisolvens	831		D1					GCF_037113525.1-RS_2024_07_14	3	3	Complete Genome	05.04.2024		3
GCF_003015125.1	ASM301512v1	Caulobacter segnis	88688		TK0059					GCF_003015125.1-RS_2024_12_09	1	1	Complete Genome	26.03.2018		1
GCF_034424645.1	ASM3442464v1	Bordetella avium	521		HAMBI_2160					GCF_034424645.1-RS_2024_12_09	1	1	Complete Genome	17.12.2023		1
GCF_001267435.1	ASM126743v1	Neomoorella thermoacetica	1525		DSM 2955					GCF_001267435.1-RS_2025_06_01	1	1	Complete Genome	13.08.2015		1
GCF_016028275.1	ASM1602827v1	Staphylococcus carnosus	1281		FDAARGOS_883					GCF_016028275.1-RS_2024_12_13	1	1	Complete Genome	14.12.2020		1
GCF_031191545.1	ASM3119154v1	Schaalia odontolytica	1660		LMG 18080					GCF_031191545.1-RS_2024_09_06	1	1	Complete Genome	04.09.2023		1
GCF_002302565.1	ASM230256v1	Capnocytophaga canimorsus	28188		7120					GCF_002302565.1-RS_2024_10_22	1	1	Complete Genome	14.09.2017		1
GCF_020099395.1	ASM2009939v1	Streptomyces mobaraensis	35621		DSM 40587					GCF_020099395.1-RS_2024_11_06	2	2	Complete Genome	23.09.2021		2
GCF_008705175.1	ASM870517v1	Clostridium diolis	223919		DSM 15410					GCF_008705175.1-RS_2025_03_28	1	1	Complete Genome	24.09.2019		1
GCF_019930665.1	ASM1993066v1	Bacteroides nordii	291645		FDAARGOS_1461					GCF_019930665.1-RS_2024_10_23	1	1	Complete Genome	12.09.2021		1
GCF_000067205.1	ASM6720v1	Bordetella petrii	94624		DSM 12804					GCF_000067205.1-RS_2024_12_11	1	1	Complete Genome	18.12.2007		1
GCF_016726365.1	ASM1672636v1	Rothia aeria	172042		FDAARGOS_1137					GCF_016726365.1-RS_2024_12_11	1	1	Complete Genome	20.01.2021		1
GCF_028609885.1	ASM2860988v1	Corynebacterium jeikeium	38289		DSM 7171					GCF_028609885.1-RS_2025_03_24	1	1	Complete Genome	13.02.2023		1
GCF_001457555.1	NCTC10562	Fusobacterium polymorphum	76857		NCTC10562					GCF_001457555.1-RS_2025_04_08	2	2	Complete Genome	22.03.2015		2
